"Story","Title","Result","Date","Stability","Duration (s)"
"Auth","GET - As user I have be able to register","SUCCESS","2023-05-10T08:41:53.058641691+07:00[Asia/Jakarta]","0.0","4.45"
"Product","GET - As admin I have be able to get all products","SUCCESS","2023-05-10T08:41:57.540595656+07:00[Asia/Jakarta]","0.0","1.07"
