"Story","Title","Result","Date","Stability","Duration (s)"
"Auth","POST - As user I have be able to register","SUCCESS","2023-07-15T11:16:20.056434171+07:00[Asia/Jakarta]","0.0","4.13"
"Product","GET - As admin I have be able to get all products","SUCCESS","2023-07-15T11:16:24.204685883+07:00[Asia/Jakarta]","0.0","0.38"
"Product","POST - As admin I have be able to create a new product","SUCCESS","2023-07-15T11:16:24.598215854+07:00[Asia/Jakarta]","0.0","0.21"
"Product","POST - As admin I have be able to assign a rating","SUCCESS","2023-07-15T11:16:24.823004954+07:00[Asia/Jakarta]","0.0","0.67"
